company,metric,period,value,units,status,fact_id,calculation_id,source_urls
Lululemon,revenue,FY2021; ended 2022-01-30; 52 weeks,6256617.0,USD thousands,company-reported,FACT-001,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,gross_profit,FY2021; ended 2022-01-30; 52 weeks,3608565.0,USD thousands,company-reported,FACT-002,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,gross_margin,FY2021; ended 2022-01-30; 52 weeks,57.675977289324244,percent,calculated,FACT-008,CALC-002,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,operating_income,FY2021; ended 2022-01-30; 52 weeks,1333355.0,USD thousands,company-reported,FACT-003,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,operating_margin,FY2021; ended 2022-01-30; 52 weeks,21.311117493687085,percent,calculated,FACT-009,CALC-003,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,cfo,FY2021; ended 2022-01-30; 52 weeks,1389108.0,USD thousands,company-reported,FACT-004,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,capex_signed,FY2021; ended 2022-01-30; 52 weeks,-394502.0,USD thousands,company-reported,FACT-005,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,fcf,FY2021; ended 2022-01-30; 52 weeks,994606.0,USD thousands,calculated,FACT-007,CALC-001,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,inventory,At 2022-01-30,966481.0,USD thousands,company-reported,FACT-006,,https://www.sec.gov/Archives/edgar/data/1397187/000139718722000013/lulu-20220130xex991.htm
Lululemon,revenue,FY2022; ended 2023-01-29; 52 weeks,8110518.0,USD thousands,company-reported,FACT-012,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,gross_profit,FY2022; ended 2023-01-29; 52 weeks,4492340.0,USD thousands,company-reported,FACT-013,,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
Lululemon,gross_margin,FY2022; ended 2023-01-29; 52 weeks,55.389063929085665,percent,calculated,FACT-019,CALC-006,https://www.sec.gov/Archives/edgar/data/1397187/000139718724000010/lulu-20240128.htm
